userId,videoStartTime,videoEndTime,videoTotalTime,videoId,time
64876,332.378831,371.2914750957855,565,25375,2016-05-20T12:22:03.271Z
64876,373.297516,416.023879,565,25375,2016-05-20T12:22:08.702Z
64876,106.226687,116.067916,565,25375,2016-05-24T12:11:38.090Z
36609,9.660479,53.091564,213,25181,2016-05-14T13:12:28.170Z
36609,53.091564,121.118626,213,25181,2016-05-14T13:12:31.258Z
36609,124.118751,146.629241,213,25181,2016-05-14T13:12:37.167Z
36609,146.629241,180.852233,213,25181,2016-05-14T13:12:40.196Z
36609,61.000229,45.777289,325,25310,2016-05-14T13:59:09.276Z
36609,45.777289,30.493787,325,25310,2016-05-14T13:59:12.243Z
36609,324.963264,1.120813,325,25310,2016-05-14T14:16:06.262Z
36609,122.216072,104.836676,362,25311,2016-05-14T14:32:29.345Z
36609,142.677009,125.03778,362,25311,2016-05-14T14:36:56.343Z
36609,312.958009,306.993869,362,25311,2016-05-14T14:42:50.349Z
36609,303.214474,297.126209,362,25311,2016-05-14T14:43:20.401Z
36609,3.4605,87.202137,362,25311,2016-05-14T14:47:02.330Z
36609,87.202137,114.712336,362,25311,2016-05-14T14:47:06.276Z
36609,115.648961,140.503001,362,25311,2016-05-14T14:47:11.326Z
36609,140.503001,150.384731,362,25311,2016-05-14T14:47:14.289Z
36609,152.625356,167.813199,362,25311,2016-05-14T14:47:23.271Z
36609,167.813199,132.879448,362,25311,2016-05-14T14:47:26.280Z
36609,132.879448,110.378628,362,25311,2016-05-14T14:47:29.281Z
36609,119.158774,34.836989,362,25311,2016-05-14T14:47:41.272Z
36609,38.077614,51.908944,362,25311,2016-05-14T14:47:47.329Z
36609,154.737621,113.833692,362,25311,2016-05-14T14:49:02.290Z
76622,173.944657655,163.473715374,362,25311,2016-05-11T04:48:14.373Z
76622,163.473715374,129.282599707,362,25311,2016-05-11T04:48:17.411Z
76622,162.28173859,177.94797,362,25311,2016-05-11T04:48:53.406Z
76622,177.94797,193.165506886,362,25311,2016-05-11T04:48:56.582Z
76622,193.165506886,226.5845085,362,25311,2016-05-11T04:48:59.569Z
76622,229.687593167,241.953555587,362,25311,2016-05-11T04:49:05.566Z
76622,250.937808763,258.226801068,362,25311,2016-05-11T04:49:17.575Z
76622,273.275543071,309.924047561,362,25311,2016-05-11T04:49:35.607Z
76622,312.71267786,326.881033967,362,25311,2016-05-11T04:49:41.608Z
76622,329.918288296,349.52686965811967,362,25311,2016-05-11T04:49:47.712Z
76622,265.05457214,219.801212844,372,25314,2016-05-11T05:16:20.807Z
76622,219.801212844,192.598033925,372,25314,2016-05-11T05:16:23.758Z
76622,192.598033925,171.88769768,372,25314,2016-05-11T05:16:26.815Z
76622,171.88769768,115.134659528,372,25314,2016-05-11T05:16:29.783Z
76622,123.952862372,177.728116391,372,25314,2016-05-11T05:16:41.771Z
76622,156.969579437,93.9827586,238,25316,2016-05-11T05:44:17.893Z
