userId,videoStartTime,videoEndTime,videoTotalTime,videoId,time
75590,98.363843,84.007085,325,25310,2016-04-29T14:20:47.240Z
75179,178.523581,235.652039,611,25313,2016-04-29T14:21:20.550Z
75590,132.006085,109.582419,325,25310,2016-04-29T14:21:38.241Z
75179,249.420857,259.774609,611,25313,2016-04-29T14:21:41.539Z
75179,610.461,0.162876,611,25313,2016-04-29T14:29:11.601Z
75179,2.927392,64.752572,611,25313,2016-04-29T14:29:17.551Z
75179,64.752572,159.624786,611,25313,2016-04-29T14:29:20.463Z
75179,162.345366,302.21968,611,25313,2016-04-29T14:29:26.540Z
75179,364.537537,395.133134,611,25313,2016-04-29T14:30:32.560Z
75179,413.131739,431.224174,611,25313,2016-04-29T14:30:53.551Z
76451,250.45932,241.860408,372,25314,2016-04-29T14:36:05.748Z
75590,214.719,200.3051593323217,491,25312,2016-04-29T14:54:40.664Z
77136,5.881,21.263413,362,25311,2016-04-29T14:54:58.290Z
77136,21.263413,42.043887,362,25311,2016-04-29T14:55:01.269Z
77136,45.064887,52.447974,362,25311,2016-04-29T14:55:07.269Z
75590,313.634159,299.9003034901366,491,25312,2016-04-29T14:56:37.668Z
75590,296.074948,322.197723,491,25312,2016-04-29T14:56:43.664Z
75590,322.197723,312.101261,491,25312,2016-04-29T14:56:46.664Z
76638,17.635593,31.423979,362,25311,2016-04-29T14:57:16.798Z
76638,35.644885,24.56998,362,25311,2016-04-29T14:57:22.803Z
42040,340.2945,321.8585,414,25317,2016-04-29T14:57:30.032Z
75202,10.136,15.884834,213,25181,2016-04-29T15:03:32.432Z
75202,1.236,7.218163,213,25181,2016-04-29T15:04:01.281Z
75202,7.218163,24.210163,213,25181,2016-04-29T15:04:04.155Z
52410,1.727188,146.049029,611,25313,2016-04-29T15:06:51.103Z
75464,123.158,113.09712643678162,372,25314,2016-04-29T15:09:55.795Z
75464,113.64731,106.359494,372,25314,2016-04-29T15:10:04.794Z
75464,106.359494,117.029034,372,25314,2016-04-29T15:10:07.803Z
75464,117.029034,126.434051,372,25314,2016-04-29T15:10:10.795Z
75464,243.213051,233.668454,372,25314,2016-04-29T15:12:10.804Z
75202,149.676,137.027,325,25310,2016-04-29T15:13:26.522Z
75202,139.135,132.031,325,25310,2016-04-29T15:13:32.516Z
75593,237.221,158.93927,238,25316,2016-04-29T15:20:49.325Z
75464,3.981,59.817528,491,25312,2016-04-29T15:31:56.016Z
75464,59.817528,289.235344,491,25312,2016-04-29T15:31:59.014Z
75464,289.235344,463.761781,491,25312,2016-04-29T15:32:02.028Z
78794,2.601,512.342043,611,25313,2016-04-29T15:37:05.497Z
78794,518.342043,468.937008,611,25313,2016-04-29T15:37:14.464Z
78794,468.937008,485.757896,611,25313,2016-04-29T15:37:17.466Z
78794,485.757896,458.551521,611,25313,2016-04-29T15:37:20.501Z
78794,458.551521,430.641288,611,25313,2016-04-29T15:37:23.463Z
